Event Name,Club Email,Club Name,Categories,Event Description,Begins,Ends,Location,Image,RSVP,Attendance
RKGSA spring K-BBQ party,admin@rkgsa.org ,Korean Graduate Student Association (Graduate Organization),"Social,Outdoor Event","
      From <time class=""dt-start dtstart"" datetime=""2022-04-30T16:00:00.0000000-04:00"" title=""2022-04-30T16:00:00.0000000-04:00"">Saturday, April 30, 2022 4:00 PM</time>
      to <time class=""dt-end dtend"" datetime=""2022-04-30T19:00:00.0000000-04:00"" title=""2022-04-30T19:00:00.0000000-04:00"">7:00 PM EDT</time>
      at <span class=""p-location location"">Johnson Apartment picnic area</span>.
    ","      From Saturday, April 30, 2022 4:00 PM",      to 7:00 PM EDT,Johnson Apartment picnic area,https://se-images.campuslabs.com/clink/images/ada97e51-bf79-4156-b14f-06083be31f342d0c0b73-cc8d-4ec6-8184-2c6441b6b575.png?preset=med-w,https://rutgers.campuslabs.com/engage/event/8057134,0
HAIRSPRAY at the State Theater of NJ,sje@echo.rutgers.edu ,Center for Social Justice Education and LGBT Communities (Rutgers University),Arts,"You Can&rsquo;t Stop the Beat! Hairspray, Broadway&rsquo;s Tony&reg; Award-winning musical comedy phenomenon, is back on tour! Join 16-year-old Tracy Turnblad in 1960&rsquo;s Baltimore as she sets out to dance her way onto TV&rsquo;s most popular show. Can a girl with big dreams (and even bigger hair) change the world?","      From Saturday, April 30, 2022 8:00 PM",      to 10:00 PM EDT,State Theater of New Jersey,,https://rutgers.campuslabs.com/engage/event/8063536,0
Taiwanese Graduate Student Association BBQ Party,tcwu@physics.rutgers.edu ,Rutgers Taiwanese GSA/Rutgers Taiwan Study Association (Graduate Organization),Social,"Welcome to join our TGSA BBQ party at the end of the semester!&nbsp;Food, drinks, and all materials will be provided. We will also have our officer transition ceremony performed during the event.&nbsp;","      From Sunday, May 1, 2022 11:30 AM",      to 3:00 PM EDT,Johnson Apartment,https://se-images.campuslabs.com/clink/images/986b51db-3c7e-4cb1-80b7-26d6589c4ec153ce736e-1e4b-4175-959d-953f2bcfbd17.png?preset=med-w,https://rutgers.campuslabs.com/engage/event/8079711,0
RUSEPRC Barkyard Bonding,ruseprc.secretary@gmail.com ,Seeing Eye Puppy Raising Club (Rutgers University),CommunityService,"
      From <time class=""dt-start dtstart"" datetime=""2022-05-01T12:00:00.0000000-04:00"" title=""2022-05-01T12:00:00.0000000-04:00"">Sunday, May 1, 2022 12:00 PM</time>
      to <time class=""dt-end dtend"" datetime=""2022-05-01T15:00:00.0000000-04:00"" title=""2022-05-01T15:00:00.0000000-04:00"">3:00 PM EDT</time>
      at <span class=""p-location location"">RUSEPRC Barkyard- Cook Campus</span>.
    ","      From Sunday, May 1, 2022 12:00 PM",      to 3:00 PM EDT,"</span></div>
<div>
<ul>
<li>Puppies of any age may attend provided they are healthy and confident</li>
<li>Club attire is&nbsp;<u>not</u>&nbsp;required</li>
<li>**O<em>nly two off-leash puppies are permitted per run&nbsp;</em>(must also have the permission of&nbsp;<u>both</u>&nbsp;raisers that their dogs can play together)</li>
<li>Please DO NOT leave your trash in the Barkyard!</li>
<li>Be mindful of any food spills in the Barkyard: if you notice any, clean it up. If you notice a dog eating things they are not supposed to,&nbsp;<em>intervene immediately and/or notify a raiser at once</em></li>
<li>Be mindful of closing any gates after you enter/leave through them&nbsp;</li>
<li>Remember: closed-toe shoes are required if you want to handle our puppies</li>
</ul>
<div><strong>Please find an eBoard member to get your attendance taken!</strong></div>
<div>&nbsp;</div>
<div><a href=""https://rutgers.campuslabs.com/engage/submitter/form/start/540894"">Click here to fill out the form if you are attending</a></div>
<div><a href=""https://docs.google.com/spreadsheets/d/1ajqhmxW-jVc-kKiDzHalV6ROWh54VYMRDCAsknK8Lik/edit?usp=sharing"">Click here to see the puppies that are attending</a></div>
</div></div>
  <div>
    <p>
      From <time class=""dt-start dtstart"" datetime=""2022-05-01T12:00:00.0000000-04:00"" title=""2022-05-01T12:00:00.0000000-04:00"">Sunday, May 1, 2022 12:00 PM</time>
      to <time class=""dt-end dtend"" datetime=""2022-05-01T15:00:00.0000000-04:00"" title=""2022-05-01T15:00:00.0000000-04:00"">3:00 PM EDT</time>
      at <span class=""p-location location"">",https://se-images.campuslabs.com/clink/images/ceae9a46-4e10-43c8-a370-6c586486c21fa56f7e6e-3f64-426a-a5cb-c7a76e53ecd9.png?preset=med-w,https://rutgers.campuslabs.com/engage/event/8086700,0
DIYA's 11th Annual Benefit Formal: Aaja Nachale,diya.rutgers@gmail.com ,Desi Intercultural Youth Association,"Cultural,Banquet/Food or Culinary",WE&rsquo;RE BACK and are so excited to announce our &ldquo;Aaja Nachle&rdquo;  Annual Charity Formal on May 1st at 7pm!,"      From Sunday, May 1, 2022 7:00 PM",      to 11:15 PM EDT,Trayes Hall,https://se-images.campuslabs.com/clink/images/a056ee1f-3621-459b-a3db-f4af41d92facba1b227e-0baa-44e2-9993-5bf93b2a9e1d.png?preset=med-w,https://rutgers.campuslabs.com/engage/event/8074778,0
RUPA Presents: Ice Cream Trucks,rupainformation@gmail.com ,Rutgers University Programming Association,"Social,Outdoor Event","Feeling stressed for finals? Come join RUPA for a sweet ice cream treat! On May 2 and 3 from 12 PM - 4 PM, look out for FREE ice cream from our ice cream truck on all five campuses! Keep a look at our story to find out where our ice cream truck will be  *You must be a Rutgers student to receive free ice cream*","      From Monday, May 2, 2022 12:00 PM",      to 4:00 PM EDT,Rutgers University,https://se-images.campuslabs.com/clink/images/d3964cfe-a4fa-45b1-a5bb-372e973d8a83380d4566-950b-44f8-a937-e0ec72080c36.png?preset=med-w,https://rutgers.campuslabs.com/engage/event/8074507,0
RUPA Presents: Ice Cream Trucks,rupainformation@gmail.com ,Rutgers University Programming Association,"Social,Outdoor Event","Feeling stressed for finals? Come join RUPA for a sweet ice cream treat! On May 2 and 3 from 12 PM - 4 PM, look out for FREE ice cream from our ice cream truck on all five campuses! Keep a look at our story to find out where our ice cream truck will be  *You must be a Rutgers student to receive free ice cream*","      From Monday, May 2, 2022 12:00 PM",      to 4:00 PM EDT,Rutgers University,https://se-images.campuslabs.com/clink/images/d3964cfe-a4fa-45b1-a5bb-372e973d8a83380d4566-950b-44f8-a937-e0ec72080c36.png?preset=med-w,https://rutgers.campuslabs.com/engage/event/8074508,0
Chocolate Tasting with Ethel M Chocolates,rufoodscienceclub@gmail.com ,Undergraduate Food Science Club,"Social,Special Interest",Join Food Science Club for our last meeting of the year! We are having a chocolate tasting with Ethel M Chocolates!,"      From Monday, May 2, 2022 6:30 PM",      to 8:00 PM EDT,Food Science Building Conference Room 120,https://se-images.campuslabs.com/clink/images/0369922f-e311-41c5-8812-a5c772683f8b03b0ea97-8086-4550-bc30-90b5325a4dde.png?preset=med-w,https://rutgers.campuslabs.com/engage/event/8086734,0
RUTGERS ENDGAME COOKOUT,ubcrutgers@gmail.com ,United Black Council,"Social,DJ Event,Outdoor Event","Rutgers Black Student Organizations invites you to a day of fun, food and great music!&nbsp;","      From Monday, May 2, 2022 3:00 PM",      to 8:00 PM EDT,Paul Robeson Cultural Center (BACK LAWN) ,https://se-images.campuslabs.com/clink/images/c1a9ca8b-8ee6-499c-ac1d-2efbe0a7b18aee375621-9973-4c3a-8810-9b6e13cdb34f.png?preset=med-w,https://rutgers.campuslabs.com/engage/event/8087869,0
Rutgers Public Speaking Organization General Meeting ,rutgers.pso@gmail.com ,Rutgers Public Speaking Organization,ThoughtfulLearning,"Join us every Monday from 730-830 on Zoom for our general meetings!!! Meetings range from guest speakers, presentation practice, public speaking resources, Forensics Speech Competition preparation, workshops, and more!","      From Monday, May 2, 2022 7:30 PM",      to 8:30 PM EDT,Online,https://se-images.campuslabs.com/clink/images/b55f3640-cb56-43bd-b65c-b9c4a4815ce5d44586a1-32b6-44b3-b3cb-d8ff413f0358.png?preset=med-w,https://rutgers.campuslabs.com/engage/event/7956663,0
Legacy Banquet (Closed Event for Leader Corps),osi@echo.rutgers.edu ,Student Involvement (Office of),Social,"Lead-Up Academy Ceremony hosted by the Office of Involvement and Leadership within Student Centers and Activities. The ceremony is our opportunity to recognize the achievements of all of our Lead-Up Academy graduates, from First-Year Fellowship, LVL UP, PLMs, Interns, and many others!","      From Monday, May 2, 2022 6:00 PM",      to 9:00 PM EDT,College Ave Multipurpose Room ,https://se-images.campuslabs.com/clink/images/0641de75-f0bc-4c79-b4c8-22490c7a0b01d6b78e40-005d-4e3c-bebe-197e252172c1.png?preset=med-w,https://rutgers.campuslabs.com/engage/event/8084862,0
UDC General Meeting- Parasite Discussion,udc.rutgers@gmail.com ,The Utopia-Dystopia Collective,"Social,Entertainment,Film ,Special Interest",Join us for our final meeting of the semester! We'll be enjoying mac n' cheese and other snacks from Panera while discussing the 2019 film Parasite. See you there!,"      From Monday, May 2, 2022 7:00 PM",      to 9:00 PM EDT,Lucy Stone Hall room A-255/A-256,https://se-images.campuslabs.com/clink/images/1e672723-46d3-44bd-b116-d6e2ba1dd8b3943a60bb-2c36-49dc-b8d9-47a428c2fdbe.png?preset=med-w,https://rutgers.campuslabs.com/engage/event/8089325,0
Food Science GSA Party,rufoodscience@gmail.com ,Food Science GSA (Graduate Organization),Social,Come join the Food science GSA for a night filled with food and fun activities.,"      From Monday, May 2, 2022 6:30 PM",      to 9:30 PM EDT,TBA,,https://rutgers.campuslabs.com/engage/event/8089782,0
PDAOA General Meeting (Zoom),rutgerspdaoa@gmail.com ,Prescription Drug Abuse and Overprescription Awareness Organization of Rutgers ,"ThoughtfulLearning,Educational Lecture,Special Interest,Academics (Residence Life),Knight's Call - Resilient","Join Rutgers Prescription Drug Abuse and Overprescription Awareness at one of our bi-weekly General Meetings. Together we'll host trivia and movie nights and discuss upcoming opportunities including Narcan Trainings, community service, and educational/awareness events. We look forward to seeing y'all there!","      From Monday, May 2, 2022 9:00 PM",      to 10:00 PM EDT,"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSeB1yEdOfOdwYhUCXCzZJ6ObY_KtSq2tGNqjdz1_lKfk3QqWA/viewform "" class=""url"">Online</a>",https://se-images.campuslabs.com/clink/images/b48221cd-8315-4fbb-89a0-383db78cf388f4963468-8487-4d2b-bd52-f38bfe7bf765.png?preset=med-w,https://rutgers.campuslabs.com/engage/event/7824290,0
Working memory workshop,,undefine,"ThoughtfulLearning,Educational Lecture","In this one-hour talk, Dr. Anna Soveri (Professor of Psychology, University of Turku, Finland) will present her most recent research about whether working memory can be trained.","      From Tuesday, May 3, 2022 10:30 AM",      to 11:30 AM EDT,AB 5190,https://se-images.campuslabs.com/clink/images/35bf3a51-2311-4da1-b148-75166fb06b7b6552f031-cdcf-44dd-9b2d-a468567a33cc.png?preset=med-w,https://rutgers.campuslabs.com/engage/event/8014703,0
RUSEPRC Alexander Library Destressor,ruseprc.secretary@gmail.com ,Seeing Eye Puppy Raising Club (Rutgers University),CommunityService,"
      From <time class=""dt-start dtstart"" datetime=""2022-05-03T14:00:00.0000000-04:00"" title=""2022-05-03T14:00:00.0000000-04:00"">Tuesday, May 3, 2022 2:00 PM</time>
      to <time class=""dt-end dtend"" datetime=""2022-05-03T16:00:00.0000000-04:00"" title=""2022-05-03T16:00:00.0000000-04:00"">4:00 PM EDT</time>
      at <span class=""p-location location"">Alexander Library</span>.
    ","      From Tuesday, May 3, 2022 2:00 PM",      to 4:00 PM EDT,Alexander Library,https://se-images.campuslabs.com/clink/images/0bc0313e-9641-4523-949c-ac39268932f8aaa76f27-d687-4cd3-b09b-ba7f87438465.png?preset=med-w,https://rutgers.campuslabs.com/engage/event/8086719,0
Carnival Day! ,,undefine,"Social,Community (Residence Life),Entertainment,Outdoor Event","Come one, come all! Take a break from studying and join the Richardson RAs for an amazing Carnival Day. There will be cotton candy, popcorn, carnival booths with prizes, sand art, and even a wrecking ball inflatable! Register today and bring your friends along for the exciting day we have planned.&nbsp;","      From Tuesday, May 3, 2022 5:00 PM",      to 8:00 PM EDT,Richardson Community Center,https://se-images.campuslabs.com/clink/images/74e6ccc4-af69-49a6-b048-7bf94996d675a33cb107-feec-45bf-8147-7155898b063f.png?preset=med-w,https://rutgers.campuslabs.com/engage/event/8088617,0
Rainbow Graduation 2022,sje@echo.rutgers.edu ,Center for Social Justice Education and LGBT Communities (Rutgers University),Social,Rainbow Graduation honors the achievements of graduating Rutgers LGBTQIA+ students. We use this occasion to honor students who have continued our traditions of pride and activism.,"      From Wednesday, May 4, 2022 6:00 PM",      to 8:00 PM EDT,"(College Avenue Student Center (CASC), Multi-Purpose Room (MPR)",https://se-images.campuslabs.com/clink/images/13812785-ff7b-45f7-aed7-96718f396392d6f75950-8ced-447b-a47e-0bbfa8fa8a5e.png?preset=med-w,https://rutgers.campuslabs.com/engage/event/8063526,0
RESSA/RATS Wellness Event,,undefine,Social,"RESSA and RATS want YOU live your best and healthiest life. How can you do that?&nbsp;Come <strong>free yourself</strong> of the stress from the 2021-2022 academic year at our Wellness Event. Here, we will have massage therapists, stress relief activities, and healthy food to help your body and mind completely reset before finals, grant deadlines, qualifying exams, etc.&nbsp;","      From Thursday, May 5, 2022 12:00 PM",      to 2:00 PM EDT,Pharmacy Rm 249,https://se-images.campuslabs.com/clink/images/e4766b1b-6174-4b01-bbb1-786e2426a2ea09a0e43d-c5bc-48da-abcc-d4e3c8a7843e.png?preset=med-w,https://rutgers.campuslabs.com/engage/event/8079968,0
Student Seminars in Physics and Astronomy at Rutgers (Cancelled),rpagso@physics.rutgers.edu ,Physics and Astronomy (Graduate Organization),"ThoughtfulLearning,Educational Lecture","The physics and astronomy GSO hosts weekly seminars given by the graduate students in the physics and astronomy department on their current research or other topics of interest to them! These are 4:30-5:30pm on Thursdays starting February 17. This event is hybrid, the zoom information is below.&nbsp;","      From Thursday, May 5, 2022 4:30 PM",      to 5:30 PM EDT,"Serin Physics Building, Room 330. ",https://se-images.campuslabs.com/clink/images/c75f541d-3c77-4288-814b-713047d3eb0d6a067823-9a22-4fff-b050-85712454f9ea.png?preset=med-w,https://rutgers.campuslabs.com/engage/event/7869629,0
LAGSA Meeting,,undefine,Social,This is a regular meeting of the LAGSA. We will talk about upcoming events and professional development opportunities.,"      From Thursday, May 5, 2022 5:00 PM",      to 6:00 PM EDT,Blake Hall,,https://rutgers.campuslabs.com/engage/event/8006998,0
Student Seminars in Physics and Astronomy at Rutgers,rpagso@physics.rutgers.edu ,Physics and Astronomy (Graduate Organization),"ThoughtfulLearning,Educational Lecture","The physics and astronomy GSO hosts weekly seminars given by the graduate students in the physics and astronomy department on their current research or other topics of interest to them! These are 5:30-6:30pm on Thursdays starting February 17. This event is hybrid, the zoom information is below.&nbsp;","      From Thursday, May 5, 2022 5:30 PM",      to 6:30 PM EDT,"Serin Physics Building, Room 330",https://se-images.campuslabs.com/clink/images/32423ffa-a631-4413-a133-7e30bc41e800920923e7-9a5e-4ec3-aade-cdbd6a9b2da4.png?preset=med-w,https://rutgers.campuslabs.com/engage/event/7874926,0
End of Year BBQ with Oceanography Club,,undefine,Social,"OGSA will be hosting an End-of-Year BBQ with the Undergraduate Oceanography Club. This will be a time to connect with the undergraduates, pass on some wisdom, and celebrate their accomplishments. <span style=""text-decoration: underline;""><strong>All marine science - related students are welcome to join!!</strong></span>","      From Friday, May 6, 2022 5:00 PM",      to 7:00 PM EDT,"</span></p></div>
  <div>
    <p>
      From <time class=""dt-start dtstart"" datetime=""2022-05-06T17:00:00.0000000-04:00"" title=""2022-05-06T17:00:00.0000000-04:00"">Friday, May 6, 2022 5:00 PM</time>
      to <time class=""dt-end dtend"" datetime=""2022-05-06T19:00:00.0000000-04:00"" title=""2022-05-06T19:00:00.0000000-04:00"">7:00 PM EDT</time>
      at <span class=""p-location location"">",,https://rutgers.campuslabs.com/engage/event/8083933,0
Physics and Astronomy End of Year Feast,rpagso@physics.rutgers.edu ,Physics and Astronomy (Graduate Organization),Social,End of year celebration with food and games!&nbsp;,"      From Friday, May 6, 2022 5:00 PM",      to 7:00 PM EDT,"Serin Physics Building, Room 330",https://se-images.campuslabs.com/clink/images/4f9e47aa-1079-4a2e-8f0a-9f59709cf5bb1fa7d0a9-9d27-4cf5-aec4-548dfe28ca02.png?preset=med-w,https://rutgers.campuslabs.com/engage/event/8088762,0
RATS Field Day,,undefine,Social,"Let's get physical! The sun is out, the pollen is flowing, the bees are buzzing and where are you going?! FIELD DAY. On May 9th (11am-2pm) we have a fun filled day planned!!! Get to know the RATS, feel like you're in summer camp again, and get out some of that frustration you have from your experiments not working 90% of the time despite you dedicating your heart and soul to it!!! We have GAMES, BONDING, FOOD. See you there!!!!!","      From Monday, May 9, 2022 11:00 AM",      to 2:00 PM EDT,EOHSI LAWN,https://se-images.campuslabs.com/clink/images/b880396d-21c6-47cc-ad51-778f2cfde6587e2f6507-8943-4e7b-b470-4bd274751513.png?preset=med-w,https://rutgers.campuslabs.com/engage/event/8086247,0
30th Annual Rites of Passage Ceremony Registration,rop@echo.rutgers.edu ,Rites of Passage Ceremony,"Cultural,Cultural Performance,Special Interest","The annual&nbsp;<strong><em>Rites of Passage Ceremony</em></strong>&nbsp;is a pre-commencement celebration to honor Black and Latinx-identified students who through resolute persistence have successfully completed an undergraduate or graduate degree at Rutgers University&mdash;New Brunswick. The event recognizes their accomplishments, hard work, and dedication, while simultaneously acknowledging the accomplishments of our student&rsquo;s families and networks of support. Distinguished speakers, student awards, performances, and the incorporation of African culture and traditions&mdash;specifically the culminating Kente Stole presentation&mdash;all add to the vibrancy of this celebratory day.","      From Wednesday, May 11, 2022 3:00 PM",      to 5:00 PM EDT,Jersey Mike's Arena,https://se-images.campuslabs.com/clink/images/7cf89785-5559-481b-86bf-ab684c5f46076cef7dd4-67f4-440c-b1c3-c441ba4db7fb.png?preset=med-w,https://rutgers.campuslabs.com/engage/event/8048585,0
Student Seminars in Physics and Astronomy at Rutgers (Cancelled),rpagso@physics.rutgers.edu ,Physics and Astronomy (Graduate Organization),"ThoughtfulLearning,Educational Lecture",The physics and astronomy GSO hosts weekly seminars given by the graduate students in the physics and astronomy department on their current research or other topics of interest to them! These are 4:30-5:30pm on Thursdays starting February 17. This event is hybrid; the zoom information is below.&nbsp;,"      From Thursday, May 12, 2022 4:30 PM",      to 5:30 PM EDT,"Serin Physics Building, Room 330. ",https://se-images.campuslabs.com/clink/images/c75f541d-3c77-4288-814b-713047d3eb0d6a067823-9a22-4fff-b050-85712454f9ea.png?preset=med-w,https://rutgers.campuslabs.com/engage/event/7869630,0
Student Seminars in Physics and Astronomy at Rutgers,rpagso@physics.rutgers.edu ,Physics and Astronomy (Graduate Organization),"ThoughtfulLearning,Educational Lecture","The physics and astronomy GSO hosts weekly seminars given by the graduate students in the physics and astronomy department on their current research or other topics of interest to them! These are 5:30-6:30pm on Thursdays starting February 17. This event is hybrid, the zoom information is below.&nbsp;","      From Thursday, May 12, 2022 5:30 PM",      to 6:30 PM EDT,"Serin Physics Building, Room 330",https://se-images.campuslabs.com/clink/images/32423ffa-a631-4413-a133-7e30bc41e800920923e7-9a5e-4ec3-aade-cdbd6a9b2da4.png?preset=med-w,https://rutgers.campuslabs.com/engage/event/7874927,0
Douglass-ODASIS DOCTORS Living-Learning Community - Cohort 1 ,DouglassWiSE@echo.rutgers.edu ,Douglass WiSE at Douglass Residential College - DRC,"Social,Community (Residence Life)",Welcome to the Douglass-ODASIS Community That Offers Resources and Support (DOCTORS) Living-Learning Community for Douglass-ODASIS undergraduate women of color pursuing allied health professional fields.&nbsp;,"      From Saturday, September 1, 2018 12:00 PM","      to Sunday, May 15, 2022 12:00 AM EDT",Bunting-Cobb Residence Hall ,,https://rutgers.campuslabs.com/engage/event/5221184,0
Study Opportunity to watch brief coping videos to learn ways to effectively manage many challenges during the COVID-19 Era.,fmaresca@echo.rutgers.edu ,"Health Outreach, Promotion and Education (H.O.P.E.) ","CommunityService,Special Interest,Wellness Event","</p></div>
  <div>
    <p>","      From Wednesday, September 9, 2020 12:00 PM","      to Friday, August 19, 2022 1:00 PM EDT",Online Link Provided in Description,,https://rutgers.campuslabs.com/engage/event/6413126,0
Computer Science Living-Learning Community - Cohort 5,DouglassWiSE@echo.rutgers.edu ,Douglass WiSE at Douglass Residential College - DRC,ThoughtfulLearning,Class of 2024 - Douglass-SAS-DIMACS Computer Science Living-Learning Community,"      From Tuesday, August 25, 2020 12:00 AM","      to Saturday, May 25, 2024 11:45 PM EDT","Allen Hall, Busch Campus",https://se-images.campuslabs.com/clink/images/b2d4c56b-e550-4f26-b9d6-95842e01524a9ba6b26e-9d48-418c-a5d9-c325825e5096.png?preset=med-w,https://rutgers.campuslabs.com/engage/event/6163393,0
